Модель	Наименование	Категория	Цена	Артикул	Ссылка на товар	Источник
ВД-3-2000	Воронка делительная, грушевидная, уп.1/4 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные	3435	10000329	https://minimed.ru/product/442/	minimed.ru
ВД-3-1000	Воронка делительная грушевидная, ПТФЭ кран, уп. 2/12 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные грушевидные	2084	10000336	https://minimed.ru/product/4334/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические с делениями						
ВД-1-125	Воронка делительная, цилиндрическая, с делениями, уп. 2/48 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические с делениями	978	10000451	https://minimed.ru/product/3854/	minimed.ru
ВД-1-250	Воронка делительная, цилиндрическая, с делениями, уп.2/ 32 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические с делениями	968	10000452	https://minimed.ru/product/3908/	minimed.ru
ВД-1-500	Воронка делительная, цилиндрическая, с делениями, уп.2/24 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические с делениями	1192	10000453	https://minimed.ru/product/432/	minimed.ru
ВД-1-1000	Воронка делительная, цилиндрическая,с делениями, уп.2/12 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические с делениями	1730	10000454	https://minimed.ru/product/436/	minimed.ru
ВД-1-250	Воронка делительная цилиндрическая, с делениями, ПТФЭ кран, уп.2/ 32 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические с делениями	1572	10000339	https://minimed.ru/product/4332/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические						
ВД-1-10	Воронка делительная, кран с резьбовым уплотнением, ГОСТ 25336-82, уп.10 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	902	10000311	https://minimed.ru/product/422/	minimed.ru
ВД-1-25	Воронка делительная, кран с резьбовым уплотнением, ГОСТ 25336-82, уп.5 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	943	10000312	https://minimed.ru/product/423/	minimed.ru
ВД-1-50	Воронка делительная, кран с резьбовым уплотнением, ГОСТ 25336-82, уп. 5 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	984	10000313	https://minimed.ru/product/424/	minimed.ru
ВД-1-60	Воронка делительная, цилиндрическая, уп.4/48 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	538	10000308	https://minimed.ru/product/425/	minimed.ru
ВД-1-125	Воронка делительная, цилиндрическая, уп.4/48 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	633	10000305	https://minimed.ru/product/426/	minimed.ru
ВД-1-250	Воронка делительная, цилиндрическая, уп.4./32 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	811	10000306	https://minimed.ru/product/427/	minimed.ru
ВД-1-500	Воронка делительная, цилиндрическая, уп.2/24 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	977	10000307	https://minimed.ru/product/428/	minimed.ru
ВД-1-1000	Воронка делительная, цилиндрическая, уп.2/12 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	1448	10000304	https://minimed.ru/product/429/	minimed.ru
ВД-1-250	Воронка делительная цилиндрическая, ПТФЭ кран, уп.4./32 шт	Лабораторная посуда и принадлежности из стекла/Воронки делительные цилиндрические	1275	10000414	https://minimed.ru/product/4331/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Воронки лабораторные						
В-25-38	Воронка лабораторная, ТС, уп.24/576 шт	Лабораторная посуда и принадлежности из стекла/Воронки лабораторные	100	10000515	https://minimed.ru/product/457/	minimed.ru
В-36-50	Воронка лабораторная, ТС, уп.12/288 шт	Лабораторная посуда и принадлежности из стекла/Воронки лабораторные	100	10000507	https://minimed.ru/product/458/	minimed.ru
В-56-80	Воронка лабораторная, ТС, уп.12/288 шт	Лабораторная посуда и принадлежности из стекла/Воронки лабораторные	139	10000508	https://minimed.ru/product/459/	minimed.ru
В-75-110	Воронка лабораторная, ТС, уп.12/96 шт	Лабораторная посуда и принадлежности из стекла/Воронки лабораторные	162	10000509	https://minimed.ru/product/460/	minimed.ru
В-100-150	Воронка лабораторная, ТС, уп.8/72 шт	Лабораторная посуда и принадлежности из стекла/Воронки лабораторные	223	10000506	https://minimed.ru/product/461/	minimed.ru
В-150-230	Воронка лабор., уп.8шт	Лабораторная посуда и принадлежности из стекла/Воронки лабораторные	727	10000502	https://minimed.ru/product/462/	minimed.ru
В-150-265	Воронка лабораторная, ТС, уп.2/24 шт	Лабораторная посуда и принадлежности из стекла/Воронки лабораторные	1056	10000535	https://minimed.ru/product/3524/	minimed.ru
В-250-345	Воронка лабораторная, ТС, уп.2/8 шт	Лабораторная посуда и принадлежности из стекла/Воронки лабораторные	2715	10000511	https://minimed.ru/product/463/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Дозаторы стеклянные						
1-19/26	Дозатор для изоамилового спирта,уп.8 шт.	Лабораторная посуда и принадлежности из стекла/Дозаторы стеклянные	3416	10000605	https://minimed.ru/product/497/	minimed.ru
	Дозатор к прибору для отмеривания серной кислоты 10-19/26, ГОСТ 6859-72, уп.10шт	Лабораторная посуда и принадлежности из стекла/Дозаторы стеклянные	1773	10000613	https://minimed.ru/product/498/	minimed.ru
	Дозатор 10 мл, Химлаборприбор	Лабораторная посуда и принадлежности из стекла/Дозаторы стеклянные	4180	10000602	https://minimed.ru/product/2939/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Емкости стеклянные для окраски препаратов						
	Емкость стеклянная 77*57*29 мм на 10 стекол горизонтально, уп. 1 /50 шт.	Лабораторная посуда и принадлежности из стекла/Емкости стеклянные для окраски препаратов	492	12001403	https://minimed.ru/product/554/	minimed.ru
	Емкость стеклянная 50*52*86мм, на 9 стекол вертикально, уп.1/20 шт	Лабораторная посуда и принадлежности из стекла/Емкости стеклянные для окраски препаратов	514	12001409	https://minimed.ru/product/3238/	minimed.ru
	Емкость стеклянная, 32*32*86 мм на 5 стекол вертикально, уп. 1/20 шт.	Лабораторная посуда и принадлежности из стекла/Емкости стеклянные для окраски препаратов	507	12001401	https://minimed.ru/product/556/	minimed.ru
	Емкость стеклянная, внутр. разм. 150*85*80 мм,(под штатив на 60 стекол), уп. 1/10 шт.	Лабораторная посуда и принадлежности из стекла/Емкости стеклянные для окраски препаратов	1408	12001408	https://minimed.ru/product/557/	minimed.ru
	Емкость стеклянная, внутр. разм. 75*65*80мм, (под штатив на 30 стекол), уп. 1/20 шт.	Лабораторная посуда и принадлежности из стекла/Емкости стеклянные для окраски препаратов	869	12001402	https://minimed.ru/product/558/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Изгибы						
	Изгиб *2К 14/23-14/23, уп.100/200 шт	Лабораторная посуда и принадлежности из стекла/Изгибы	654	12010303	https://minimed.ru/product/263/	minimed.ru
	Изгиб *2К 29/32-29/32, уп.20/100 шт	Лабораторная посуда и принадлежности из стекла/Изгибы	962	12010304	https://minimed.ru/product/264/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Камеры Горяева (для счета форменных элементов крови)						
	Камера для счета форменных элементов крови (Камера Горяева) по 2-х сет., инд.уп./10/300 шт.	Лабораторная посуда и принадлежности из стекла/Камеры Горяева (для счета форменных элементов крови)	711	12001711	https://minimed.ru/product/602/	minimed.ru
	Камера для счета форменных элементов крови (Камера Горяева) по 4-х сет., инд.уп./10/300 шт.	Лабораторная посуда и принадлежности из стекла/Камеры Горяева (для счета форменных элементов крови)	1138	12001714	https://minimed.ru/product/603/	minimed.ru
	Камера для счета форменных элементов крови (Камера Горяева) по 2-х сет., исп. 1	Лабораторная посуда и принадлежности из стекла/Камеры Горяева (для счета форменных элементов крови)	4750	12001709	https://minimed.ru/product/4176/	minimed.ru
	Камера для счета форменных элементов крови (Камера Горяева) по 4-х сет., исп. 1	Лабораторная посуда и принадлежности из стекла/Камеры Горяева (для счета форменных элементов крови)	5900	12001704	https://minimed.ru/product/4177/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Камера Фукса-Розенталя						
	Счетная камера с сеткой Фукса-Розенталя, инд.уп./10/500 шт	Лабораторная посуда и принадлежности из стекла/Камера Фукса-Розенталя	546	12007401	https://minimed.ru/product/605/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Капельницы						
2-30	Капельница Страшейна мл, светлое стекло, с притертой пробкой- пипеткой, уп.12/288 шт	Лабораторная посуда и принадлежности из стекла/Капельницы	147	12001810	https://minimed.ru/product/607/	minimed.ru
2-30	Капельница Страшейна мл, темное стекло, с притертой пробкой- пипеткой, уп.10/120 шт	Лабораторная посуда и принадлежности из стекла/Капельницы	193	12001806	https://minimed.ru/product/608/	minimed.ru
2-60	Капельница Страшейна мл, светлое стекло, с притертой пробкой-пипеткой, уп.12/288 шт	Лабораторная посуда и принадлежности из стекла/Капельницы	176	12001811	https://minimed.ru/product/609/	minimed.ru
2-60	Капельница Страшейна мл, темное стекло, с притертой пробкой- пипеткой, уп.12/288 шт	Лабораторная посуда и принадлежности из стекла/Капельницы	220	12001807	https://minimed.ru/product/610/	minimed.ru
2-125	Капельница Страшейна мл, светлое стекло, с притертой пробкой-пипеткой, уп.12/144 шт	Лабораторная посуда и принадлежности из стекла/Капельницы	216	12001812	https://minimed.ru/product/611/	minimed.ru
2-125	Капельница Страшейна мл, темное стекло, с притертой пробкой- пипеткой, уп.12/144 шт	Лабораторная посуда и принадлежности из стекла/Капельницы	277	12001808	https://minimed.ru/product/612/	minimed.ru
	Капельница 3 ХС (Шустера), уп.40 шт	Лабораторная посуда и принадлежности из стекла/Капельницы	602	12001803	https://minimed.ru/product/618/	minimed.ru
	Капельница-дозатор 50 мл, уп.15 шт	Лабораторная посуда и принадлежности из стекла/Капельницы	295	12001805	https://minimed.ru/product/619/	minimed.ru
